date,symbol,action,quantity,price
2024-01-02,AAPL,buy,100,150.00
2024-01-05,AAPL,sell,100,155.00
2024-01-08,GOOGL,buy,50,120.00
2024-01-10,GOOGL,sell,50,118.00
2024-01-12,MSFT,buy,75,300.00
2024-01-15,MSFT,sell,75,310.00
2024-01-18,AAPL,buy,150,152.00
2024-01-22,AAPL,sell,150,158.00
2024-01-25,TSLA,buy,80,200.00
2024-01-28,TSLA,sell,80,195.00
2024-02-01,GOOGL,buy,60,125.00
2024-02-05,GOOGL,sell,60,130.00
2024-02-08,MSFT,buy,100,305.00
2024-02-12,MSFT,sell,100,302.00
2024-02-15,AAPL,buy,120,160.00
2024-02-20,AAPL,sell,120,165.00
2024-02-22,AMZN,buy,40,140.00
2024-02-25,AMZN,sell,40,145.00
2024-02-28,NVDA,buy,90,400.00
2024-03-02,NVDA,sell,90,420.00
